License Number,Street Number,Street Name,City,State,Zip Code,Square Footage
709132,1622,CORTELYOU RD                ,BROOKLYN          ,NY,11226,400
713904,4311,10TH AVE                    ,BROOKLYN          ,NY,11219,2000
670032,8514,23RD AVE                    ,BROOKLYN          ,NY,11214,1000
671241,129,OSBORN ST                    ,BROOKLYN          ,NY,11212,2000
710170,6926,5TH AVE                     ,BROOKLYN          ,NY,11209,1500
711711,87,CHURCH AVE                    ,BROOKLYN          ,NY,11218,4000
710275,890,ROCKAWAY AVE                 ,BROOKLYN          ,NY,11212,528
708549,2827,CROPSEY AVE                 ,BROOKLYN          ,NY,11214,1000
714101,137,BLAKE AVE                    ,BROOKLYN          ,NY,11212,2000
703855,6819,FT HAMILTON PKWY            ,BROOKLYN          ,NY,11219,2500
707265,124,IRVING AVE                   ,BROOKLYN          ,NY,11237,650
613848,9512,4TH AVE                     ,BROOKLYN          ,NY,11209,1800
671842,1914,KINGS HWY                   ,BROOKLYN          ,NY,11229,3000
707022,185,STARR ST                     ,BROOKLYN          ,NY,11237,800
714028,191,GREENPOINT AVE           ,BROOKLYN          ,NY,11222,2500
713585,313,7TH AVE                      ,BROOKLYN          ,NY,11215,3200
672036,1075,FLATBUSH AVE                ,BROOKLYN          ,NY,11226,1500
707335,926,4TH AVENUE                   ,BROOKLYN          ,NY,11232,1000
709857,488,DEKALB AVE                   ,BROOKLYN          ,NY,11205,700
619268,1201,AVENUE U                    ,BROOKLYN          ,NY,11229,1300
670026,187,MONTROSE AVE           ,BROOKLYN          ,NY,11206,2000
670872,59,STUYVESANT AVE                ,BROOKLYN          ,NY,11221,2000
671295,215,7TH AVE                      ,BROOKLYN          ,NY,11215,1100
707079,534,FLATBUSH AVE                 ,BROOKLYN          ,NY,11225,0
706263,565,LENOX RD                     ,BROOKLYN          ,NY,11203,3000
708760,6821,4TH AVE                     ,BROOKLYN          ,NY,11220,1600
672238,713,FLATBUSH AVE                 ,BROOKLYN          ,NY,11225,0
714719,9424,KINGS HWY                   ,BROOKLYN          ,NY,11212,1800
714960,172,"HAVEMEYER ST, STORE D        ",BROOKLYN          ,NY,11211,400
713148,1649,BEDFORD AVE                 ,BROOKLYN          ,NY,11225,1500
714307,1591,FULTON ST                   ,BROOKLYN          ,NY,11213,1000
720838,409,EAST 116 STREET              ,NEW YORK          ,NY,10029,1500
712571,3379,FULTON ST                   ,BROOKLYN          ,NY,11208,700
715636,2023,SEVENTH AVE                 ,NEW YORK          ,NY,10027,2000
716751,189,AVENUE A               ,NEW YORK          ,NY,10009,1900
714074,400,BEDFORD AVE                  ,BROOKLYN          ,NY,11249,1500
724966,251,6TH AVENUE                   ,NEW YORK          ,NY,10014,1500
717630,900,RIVERSIDE DR                 ,NEW YORK          ,NY,10032,1200
718256,124,FORT GEORGE AVE              ,NEW YORK          ,NY,10040,1100
725426,83,CANAL STREET                  ,NEW YORK          ,NY,10002,2000
709281,2348,PITKIN AVE                  ,BROOKLYN          ,NY,11207,900
15410,,COLONIE CENTER #322              ,ALBANY            ,NY,12205,1600
721066,91,AVE D                   ,NEW YORK          ,NY,10009,0
725633,1606,AMSTERDAM AVE               ,NEW YORK          ,NY,10031,2000
717908,1430,BROADWAY FRONT 1            ,NEW YORK          ,NY,10018,200
15736,,PO BOX 303 RT 9W&143     ,RAVENA            ,NY,12143,1200
671066,1729,86TH ST                     ,BROOKLYN          ,NY,11214,1000
722668,2011C,AMSTERDAM AVE              ,NEW YORK          ,NY,10032,1200
714441,6,S SWAN ST EMP ST PLZ CORE 2 #,ALBANY            ,NY,12228,600
623259,2463,FREDERICK DOUGLAS BLVD      ,NEW YORK          ,NY,10027,15000
728745,204,CLINTON                  ,NEW YORK          ,NY,10002,0
723888,3769,10TH AVENUE                 ,NEW YORK          ,NY,10034,0
728334,670,COLUMBUS AVE           ,NEW YORK          ,NY,10025,0
717976,1642,LEXINGTON AVE         ,NEW YORK          ,NY,10029,0
671716,184,WALLABOUT ST                 ,BROOKLYN          ,NY,11206,6000
726907,905,COLUMBUS AVE                 ,NEW YORK          ,NY,10025,400
10895,1,"CROSSGATE MALL, FOOD COURT ",ALBANY            ,NY,12203,1200
714873,2552,PITKIN AVE                  ,BROOKLYN          ,NY,11208,1000
712620,4702,8TH AVE UNIT C          ,BROOKLYN          ,NY,11220,1100
10940,,BLDG 9 TAX & FINANCE CAMPUS  ,ALBANY            ,NY,12226,200
718382,1413,AMSTERDAM AVE               ,NEW YORK          ,NY,10027,0
729037,1948,AMSTERDAM AVE               ,NEW YORK          ,NY,10032,0
626003,532,9TH AVE                      ,NEW YORK          ,NY,10018,1200
671012,5724,5TH AVE                     ,BROOKLYN          ,NY,11220,1000
712828,4310,8TH AVE                     ,BROOKLYN          ,NY,11232,0
722178,151,WEST 34TH STREET         ,NEW YORK          ,NY,10001,50
706698,1,ESP CONCOURSE AG1&2RM134   ,ALBANY            ,NY,12228,800
728333,97,LEXINGTON AVE                 ,NEW YORK          ,NY,10016,0
714984,8102,3RD AVE                     ,BROOKLYN          ,NY,11209,2000
729270,49,PRINCE ST APT 20              ,NEW YORK          ,NY,10012,0
719194,100,E 116TH ST                   ,NEW YORK          ,NY,10029,0
712260,5106,12TH AVE                    ,BROOKLYN          ,NY,11219,3000
726917,60,WEST 8TH ST               ,NEW YORK          ,NY,10011,1600
725812,327,GRAND CENTRAL TERMINAL       ,NEW YORK          ,NY,10017,300
713014,455,TOMPKINS AVE                 ,BROOKLYN          ,NY,11216,300
714974,510,RIVERDALE AVE                ,BROOKLYN          ,NY,11207,1000
716631,49,COLUMBIA ST                   ,NEW YORK          ,NY,10002,2800
724948,410,WEST 207TH STREET            ,NEW YORK          ,NY,10034,700
717519,581,W 207TH ST                   ,NEW YORK          ,NY,10034,1800
671118,6603,11TH AVE              ,BROOKLYN          ,NY,11219,1100
724450,57,AUDUBON AVE               ,NEW YORK          ,NY,10032,1800
713936,1928,KINGS HWY                   ,BROOKLYN          ,NY,11229,2000
703983,,BLDG 12 STATE CAMPUS DOL     ,ALBANY            ,NY,12240,600
712321,7912,13TH AVE                ,BROOKLYN          ,NY,11228,400
729336,1629,LEXINGTON AVE STORE NO 2    ,NEW YORK          ,NY,10029,0
712345,2010,NOSTRAND AVE                ,BROOKLYN          ,NY,11210,350
671139,980,RUTLAND RD                   ,BROOKLYN          ,NY,11212,1500
671132,1712,AVENUE M                    ,BROOKLYN          ,NY,11230,1000
720984,569,WEST 207TH STREET            ,NEW YORK          ,NY,10034,600
671818,6831,BAY PKWY                ,BROOKLYN          ,NY,11204,12000
671169,167,BEDFORD AVE                  ,BROOKLYN          ,NY,11211,1600
622942,120,ESSEX ST STALL 34-7-9        ,NEW YORK          ,NY,10002,700
713388,1522,CORTELYOU RD                ,BROOKLYN          ,NY,11226,0
671236,18,PUTNAM AVE                    ,BROOKLYN          ,NY,11238,3000
